source_url,old_status,fresh_status,reconciliation,old_action,fresh_action,old_confidence,fresh_confidence,fresh_last_crawl,evidence
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/นครราชสีมา/gigabyte-aorus/,Not found (404),,missing_from_fresh_examples,KEEP_404,KEEP_404,medium,limited,,"Not present in capped 1,000-row 404 export; cannot infer removal from GSC."
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/สตูล/hp-victus-16/,Not found (404),,missing_from_fresh_examples,KEEP_404,KEEP_404,medium,limited,,"Not present in capped 1,000-row 404 export; cannot infer removal from GSC."
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ชัยภูมิ/พอร์ต-type-c-เสีย/,Not found (404),,missing_from_fresh_examples,KEEP_404,KEEP_404,medium,limited,,"Not present in capped 1,000-row 404 export; cannot infer removal from GSC."
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/บึงกาฬ/acer-aspire-5/,Not found (404),,missing_from_fresh_examples,KEEP_404,KEEP_404,medium,limited,,"Not present in capped 1,000-row 404 export; cannot infer removal from GSC."
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/กาญจนบุรี/lenovo-legion-pro-7/,Not found (404),,missing_from_fresh_examples,KEEP_404,KEEP_404,medium,limited,,"Not present in capped 1,000-row 404 export; cannot infer removal from GSC."
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/อยุธยา/surface-book/,Not found (404),,missing_from_fresh_examples,KEEP_404,KEEP_404,medium,limited,,"Not present in capped 1,000-row 404 export; cannot infer removal from GSC."
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/อุบลราชธานี/asus-rog-flow/,Not found (404),Not found (404),same_status,KEEP_404,KEEP_404,medium,high,2026-07-03,Fresh 2026-07-30 export: Not found (404)
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/นครปฐม/lenovo-yoga/,Not found (404),Not found (404),same_status,KEEP_404,KEEP_404,medium,high,2026-07-04,Fresh 2026-07-30 export: Not found (404)
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/อุทัยธานี/hp-elitebook/,Not found (404),,missing_from_fresh_examples,KEEP_404,KEEP_404,medium,limited,,"Not present in capped 1,000-row 404 export; cannot infer removal from GSC."
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/สุโขทัย/asus-rog-ally-x/,Not found (404),Not found (404),same_status,KEEP_404,KEEP_404,medium,high,2026-07-04,Fresh 2026-07-30 export: Not found (404)
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/สุพรรณบุรี/asus-zephyrus-g14/,Not found (404),Not found (404),same_status,KEEP_404,KEEP_404,medium,high,2026-06-17,Fresh 2026-07-30 export: Not found (404)
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/สตูล/acer-predator-triton/,Not found (404),Not found (404),same_status,KEEP_404,KEEP_404,medium,high,2026-06-17,Fresh 2026-07-30 export: Not found (404)
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/หนองบัวลำภู/thinkpad-e14-e15/,Not found (404),Not found (404),same_status,KEEP_404,KEEP_404,medium,high,2026-06-17,Fresh 2026-07-30 export: Not found (404)
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/สกลนคร/surface-pro/,Not found (404),,missing_from_fresh_examples,KEEP_404,KEEP_404,medium,limited,,"Not present in capped 1,000-row 404 export; cannot infer removal from GSC."
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/นครราชสีมา/macbook-pro-m5/,Not found (404),Not found (404),same_status,KEEP_404,KEEP_404,medium,high,2026-06-17,Fresh 2026-07-30 export: Not found (404)
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/นครนายก/wifi-ไม่ติด/,Not found (404),Not found (404),same_status,KEEP_404,KEEP_404,medium,high,2026-06-17,Fresh 2026-07-30 export: Not found (404)
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/พังงา/msi-modern/,Not found (404),,missing_from_fresh_examples,KEEP_404,KEEP_404,medium,limited,,"Not present in capped 1,000-row 404 export; cannot infer removal from GSC."
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/กรุงเทพ/msi-stealth-16/,Not found (404),,missing_from_fresh_examples,KEEP_404,KEEP_404,medium,limited,,"Not present in capped 1,000-row 404 export; cannot infer removal from GSC."
