url,brand_or_page_type,title_affected,meta_description_affected,h1_affected,body_affected,schema_affected,source_files,source_occurrence_count,before_occurrence_count,expected_after_count,built_page_affected
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer-nitro-16/,brand/model content page,false,true,true,true,true,src/content/brands/acer-nitro-16.md,2,7,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer-nitro-v/,brand/model content page,false,false,false,false,false,src/content/brands/acer-nitro-v.md,2,0,0,false
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer-predator-neo/,brand/model content page,false,true,true,true,true,src/content/brands/acer-predator-neo.md,2,7,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer-swift/,brand/model content page,false,true,true,true,true,src/content/brands/acer-swift.md,2,7,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer-travelmate/,brand/model content page,false,true,true,true,true,src/content/brands/acer-travelmate.md,2,7,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer/,brand/model content page,false,true,true,true,true,src/content/brands/acer.md,2,7,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/asus-expertbook/,brand/model content page,false,true,true,true,true,src/content/brands/asus-expertbook.md,2,7,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/asus-rog-strix/,brand/model content page,false,false,false,false,false,src/content/brands/asus-rog-strix.md,2,0,0,false
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/asus-tuf-a15-f15/,brand/model content page,false,false,false,false,false,src/content/brands/asus-tuf-a15-f15.md,1,0,0,false
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/asus-vivobook/,brand/model content page,false,true,true,true,true,src/content/brands/asus-vivobook.md,2,7,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/asus-zenbook/,brand/model content page,false,false,false,false,false,src/content/brands/asus-zenbook.md,2,0,0,false
