model slug,field,rendered value,configuration scope,provenance record,official source,validation result
hp-omen-16,cpuOptions,Intel Core i9-13900HX · Intel Core i7-13700HX · Intel Core i5-13500HX · Intel Core i7-13700H · Intel Core i7-13620H · Intel Core i5-13500H · Intel Core i5-13420H,MODEL_FAMILY,hp-omen-16:cpuOptions,https://kaas.hpcloud.hp.com/pdf-public/pdf_7768944_en-US-1.pdf,PASS
hp-omen-16,gpuOptions,NVIDIA GeForce RTX 3050 · NVIDIA GeForce RTX 4050 · NVIDIA GeForce RTX 4060 · NVIDIA GeForce RTX 4070 · NVIDIA GeForce RTX 4080,MODEL_FAMILY,hp-omen-16:gpuOptions,https://kaas.hpcloud.hp.com/pdf-public/pdf_7768944_en-US-1.pdf,PASS
hp-omen-16,memory.ramConfigurations,8GB · 16GB · 32GB,MODEL_FAMILY,hp-omen-16:memory.ramConfigurations,https://kaas.hpcloud.hp.com/pdf-public/pdf_7768944_en-US-1.pdf,PASS
hp-omen-16,storage.storageOptions,512GB · 1TB · 2TB,MODEL_FAMILY,hp-omen-16:storage.storageOptions,https://kaas.hpcloud.hp.com/pdf-public/pdf_7768944_en-US-1.pdf,PASS
hp-omen-16,display.displaySizes,16.1-inch,MODEL_FAMILY,hp-omen-16:display.displaySizes,https://kaas.hpcloud.hp.com/pdf-public/pdf_7768944_en-US-1.pdf,PASS
hp-omen-16,batteryCapacity,70Wh / 83Wh (MSG options),MODEL_FAMILY,hp-omen-16:batteryCapacity,https://kaas.hpcloud.hp.com/pdf-public/pdf_7768944_en-US-1.pdf,PASS
asus-tuf-a15-f15,cpuOptions,AMD Ryzen 9 8945H (A15 2024) · AMD Ryzen 7 8845HS / 8845H (A15 2024) · Intel Core i9-13900H (F15 2023) · Intel Core i7-13620H (F15 2023) · Intel Core i7-12700H (F15 2023 sample),SERIES,asus-tuf-a15-f15:cpuOptions,https://www.asus.com/laptops/for-gaming/tuf-gaming/asus-tuf-gaming-a15-2024/techspec/,PASS
asus-tuf-a15-f15,gpuOptions,NVIDIA GeForce RTX 4050 Laptop GPU · NVIDIA GeForce RTX 4060 Laptop GPU · NVIDIA GeForce RTX 4070 Laptop GPU,SERIES,asus-tuf-a15-f15:gpuOptions,https://www.asus.com/laptops/for-gaming/tuf-gaming/asus-tuf-gaming-a15-2024/techspec/,PASS
asus-tuf-a15-f15,memory.ramConfigurations,8GB · 16GB · 32GB,SERIES,asus-tuf-a15-f15:memory.ramConfigurations,https://www.asus.com/laptops/for-gaming/tuf-gaming/asus-tuf-gaming-a15-2024/techspec/,PASS
asus-tuf-a15-f15,storage.storageOptions,512GB · 1TB · 2TB,SERIES,asus-tuf-a15-f15:storage.storageOptions,https://www.asus.com/laptops/for-gaming/tuf-gaming/asus-tuf-gaming-a15-2024/techspec/,PASS
asus-tuf-a15-f15,display.displaySizes,15.6-inch,SERIES,asus-tuf-a15-f15:display.displaySizes,https://www.asus.com/laptops/for-gaming/tuf-gaming/asus-tuf-gaming-a15-2024/techspec/,PASS
asus-tuf-a15-f15,batteryCapacity,90Wh (A15 2024 / F15 2023 listings),SERIES,asus-tuf-a15-f15:batteryCapacity,https://www.asus.com/us/laptops/for-gaming/tuf-gaming/asus-tuf-gaming-f15-2023/techspec/,PASS
asus-tuf-a15-f15,chargerWattageOptions,240W · 100W USB-C (select A15 bundles),SERIES,asus-tuf-a15-f15:chargerWattageOptions,https://www.asus.com/laptops/for-gaming/tuf-gaming/asus-tuf-gaming-a15-2024/techspec/,PASS
lenovo-loq-15-16,cpuOptions,AMD Ryzen 5 7640HS · AMD Ryzen 7 7840HS · Intel Core i5-12450H class (15IRH8) · Intel Core i5-13420H class (15IRH8) · Intel Core i7-13620H class (15IRH8) · Intel Core i7-13700H class (15IRH8),SERIES,lenovo-loq-15-16:cpuOptions,https://psref.lenovo.com/syspool/Sys/PDF/LOQ/LOQ_16APH8/LOQ_16APH8_Spec.pdf,PASS
lenovo-loq-15-16,gpuOptions,NVIDIA GeForce RTX 3050 Laptop GPU · NVIDIA GeForce RTX 4050 Laptop GPU · NVIDIA GeForce RTX 4060 Laptop GPU,SERIES,lenovo-loq-15-16:gpuOptions,https://psref.lenovo.com/syspool/Sys/PDF/LOQ/LOQ_16APH8/LOQ_16APH8_Spec.pdf,PASS
lenovo-loq-15-16,memory.ramConfigurations,8GB · 16GB · 32GB,SERIES,lenovo-loq-15-16:memory.ramConfigurations,https://psref.lenovo.com/syspool/Sys/PDF/LOQ/LOQ_16APH8/LOQ_16APH8_Spec.pdf,PASS
lenovo-loq-15-16,storage.storageOptions,512GB · 1TB · 2TB,SERIES,lenovo-loq-15-16:storage.storageOptions,https://psref.lenovo.com/syspool/Sys/PDF/LOQ/LOQ_16APH8/LOQ_16APH8_Spec.pdf,PASS
lenovo-loq-15-16,display.displaySizes,15.6-inch · 16-inch,SERIES,lenovo-loq-15-16:display.displaySizes,https://psref.lenovo.com/syspool/Sys/PDF/LOQ/LOQ_15IRH8/LOQ_15IRH8_Spec.pdf,PASS
lenovo-loq-15-16,batteryCapacity,60Wh / 80Wh (16APH8 options; 15IRH8 60Wh sample),SERIES,lenovo-loq-15-16:batteryCapacity,https://psref.lenovo.com/syspool/Sys/PDF/LOQ/LOQ_16APH8/LOQ_16APH8_Spec.pdf,PASS
lenovo-loq-15-16,chargerWattageOptions,135W · 170W · 230W,SERIES,lenovo-loq-15-16:chargerWattageOptions,https://psref.lenovo.com/syspool/Sys/PDF/LOQ/LOQ_16APH8/LOQ_16APH8_Spec.pdf,PASS
