model slug,field,rendered value,configuration scope,provenance record,official source,validation result
asus-rog-strix,cpuOptions,Intel Core i9-14900HX (G16 2024 G614 official listing),SERIES,asus-rog-strix:cpuOptions,https://rog.asus.com/us/laptops/rog-strix/rog-strix-g16-2024/spec/,PASS
asus-rog-strix,gpuOptions,NVIDIA GeForce RTX 4060 Laptop GPU (G16 2024 G614) · NVIDIA GeForce RTX 4070 Laptop GPU (G16 2024 G614) · NVIDIA GeForce RTX 4080 Laptop GPU (up to; G16 2024 official product page),SERIES,asus-rog-strix:gpuOptions,https://rog.asus.com/laptops/rog-strix/rog-strix-g16-2024/,PASS
asus-rog-strix,memory.ramConfigurations,8GB · 16GB · 32GB,SERIES,asus-rog-strix:memory.ramConfigurations,https://rog.asus.com/us/laptops/rog-strix/rog-strix-g16-2024/spec/,PASS
asus-rog-strix,storage.storageOptions,512GB · 1TB · 2TB,SERIES,asus-rog-strix:storage.storageOptions,https://rog.asus.com/us/laptops/rog-strix/rog-strix-g16-2024/spec/,PASS
asus-rog-strix,display.displaySizes,16-inch,SERIES,asus-rog-strix:display.displaySizes,https://rog.asus.com/us/laptops/rog-strix/rog-strix-g16-2024/spec/,PASS
asus-rog-strix,batteryCapacity,90Wh (G16 2024 G614),SERIES,asus-rog-strix:batteryCapacity,https://rog.asus.com/us/laptops/rog-strix/rog-strix-g16-2024/spec/,PASS
asus-rog-strix,chargerWattageOptions,280W (G16 2024 G614 AC adapter listing),SERIES,asus-rog-strix:chargerWattageOptions,https://rog.asus.com/us/laptops/rog-strix/rog-strix-g16-2024/spec/,PASS
hp-omen-17,cpuOptions,Intel Core i9-11900H (17-ck0xxx MSG) · Intel Core i7-11800H (17-ck0xxx MSG) · Intel Core i5-11400H (17-ck0xxx MSG),SERIES,hp-omen-17:cpuOptions,https://kaas.hpcloud.hp.com/pdf-public/pdf_3798373_en-US-1.pdf,PASS
hp-omen-17,gpuOptions,NVIDIA GeForce RTX 3060 (17-ck0xxx MSG) · NVIDIA GeForce RTX 3070 (17-ck0xxx MSG) · NVIDIA GeForce RTX 3080 (17-ck0xxx MSG) · NVIDIA GeForce RTX 4050 (17-db0xxx GPU matrix) · NVIDIA GeForce RTX 4060 (17-db0xxx / 17-cm2xxx GPU matrix) · NVIDIA GeForce RTX 4070 (17-db0xxx / 17-cm2xxx GPU matrix) · NVIDIA GeForce RTX 4080 (17-ck2xxx GPU matrix) · NVIDIA GeForce RTX 4090 (17-ck2xxx GPU matrix),SERIES,hp-omen-17:gpuOptions,https://kaas.hpcloud.hp.com/pdf-public/pdf_8109204_en-US-1.pdf,PASS
hp-omen-17,memory.ramConfigurations,8GB · 16GB · 32GB,SERIES,hp-omen-17:memory.ramConfigurations,https://kaas.hpcloud.hp.com/pdf-public/pdf_3798373_en-US-1.pdf,PASS
hp-omen-17,storage.storageOptions,512GB · 1TB,SERIES,hp-omen-17:storage.storageOptions,https://kaas.hpcloud.hp.com/pdf-public/pdf_3798373_en-US-1.pdf,PASS
hp-omen-17,display.displaySizes,17.3-inch,SERIES,hp-omen-17:display.displaySizes,https://kaas.hpcloud.hp.com/pdf-public/pdf_3798373_en-US-1.pdf,PASS
hp-omen-17,batteryCapacity,70Wh / 83Wh (17-ck0xxx MSG),SERIES,hp-omen-17:batteryCapacity,https://kaas.hpcloud.hp.com/pdf-public/pdf_3798373_en-US-1.pdf,PASS
hp-omen-17,chargerWattageOptions,330W (17-ck0xxx MSG Smart AC adapter),SERIES,hp-omen-17:chargerWattageOptions,https://kaas.hpcloud.hp.com/pdf-public/pdf_3798373_en-US-1.pdf,PASS
dell-g15-g16,cpuOptions,13th Generation Intel Core i5 / i7 / i9 (G15 5530 Dell KB) · 12th Generation Intel Core i7-12700H (G16 7620 Setup and Specs) · 12th Generation Intel Core i9-12900H (G16 7620 Setup and Specs),SERIES,dell-g15-g16:cpuOptions,https://www.dell.com/support/kbdoc/en-us/000211027/dell-g-series-15-5530-usage-and-troubleshooting-guide,PASS
dell-g15-g16,gpuOptions,NVIDIA GeForce RTX 3050 (G15 5530 Owner's Manual port note) · NVIDIA GeForce RTX 4050 (G15 5530 Owner's Manual port note) · NVIDIA GeForce RTX 4060 (G15 5530 Owner's Manual port note) · NVIDIA GeForce RTX 3050 Ti (G16 7620 Setup and Specs) · NVIDIA GeForce RTX 3060 (G16 7620 Setup and Specs / port notes) · NVIDIA GeForce RTX 3070 (G16 7620 Setup and Specs / port notes) · NVIDIA GeForce RTX 3070 Ti (G16 7620 Setup and Specs),SERIES,dell-g15-g16:gpuOptions,https://dl.dell.com/content/manual6783340-dell-g16-7620-setup-and-specifications.pdf?language=en-us,PASS
dell-g15-g16,memory.ramConfigurations,8GB · 16GB · 32GB,SERIES,dell-g15-g16:memory.ramConfigurations,https://dl.dell.com/content/manual6783340-dell-g16-7620-setup-and-specifications.pdf?language=en-us,PASS
dell-g15-g16,storage.storageOptions,512GB · 1TB · 2TB,SERIES,dell-g15-g16:storage.storageOptions,https://www.dell.com/support/manuals/en-us/g-series-15-5530-laptop/dell-g15-5530-owners-manual/storage?guid=guid-a00459e0-2a64-449c-9f02-581bf2e3c2cf&lang=en-us,PASS
dell-g15-g16,display.displaySizes,15.6-inch · 16-inch,SERIES,dell-g15-g16:display.displaySizes,https://dl.dell.com/content/manual6783340-dell-g16-7620-setup-and-specifications.pdf?language=en-us,PASS
dell-g15-g16,batteryCapacity,56Wh / 86Wh (G16 7620 Setup and Specs); confirm G15 capacity on service label,SERIES,dell-g15-g16:batteryCapacity,https://dl.dell.com/content/manual6783340-dell-g16-7620-setup-and-specifications.pdf?language=en-us,PASS
dell-g15-g16,chargerWattageOptions,180W · 240W (G16 7620 Setup and Specs),SERIES,dell-g15-g16:chargerWattageOptions,https://dl.dell.com/content/manual6783340-dell-g16-7620-setup-and-specifications.pdf?language=en-us,PASS
lenovo-legion-pro,cpuOptions,Intel Core i7-14650HX (Pro 5 16IRX10) · Intel Core i7-14700HX (Pro 5 16IRX10) · Intel Core i9-14900HX (Pro 5 16IRX10) · Intel Core i9-13900HX (Pro 7 16IRX8H),SERIES,lenovo-legion-pro:cpuOptions,https://psref.lenovo.com/syspool/Sys/PDF/Legion/Legion_Pro_5_16IRX10/Legion_Pro_5_16IRX10_Spec.pdf,PASS
lenovo-legion-pro,gpuOptions,NVIDIA GeForce RTX 5050 Laptop GPU (Pro 5 16IRX10) · NVIDIA GeForce RTX 5060 Laptop GPU (Pro 5 16IRX10) · NVIDIA GeForce RTX 5070 Laptop GPU (Pro 5 16IRX10) · NVIDIA GeForce RTX 4080 Laptop GPU (Pro 7 16IRX8H) · NVIDIA GeForce RTX 4090 Laptop GPU (Pro 7 16IRX8H),SERIES,lenovo-legion-pro:gpuOptions,https://psref.lenovo.com/syspool/Sys/PDF/Legion/Legion_Pro_7_16IRX8H/Legion_Pro_7_16IRX8H_Spec.pdf,PASS
lenovo-legion-pro,memory.ramConfigurations,16GB · 32GB,SERIES,lenovo-legion-pro:memory.ramConfigurations,https://psref.lenovo.com/syspool/Sys/PDF/Legion/Legion_Pro_7_16IRX8H/Legion_Pro_7_16IRX8H_Spec.pdf,PASS
lenovo-legion-pro,storage.storageOptions,512GB · 1TB,SERIES,lenovo-legion-pro:storage.storageOptions,https://psref.lenovo.com/syspool/Sys/PDF/Legion/Legion_Pro_7_16IRX8H/Legion_Pro_7_16IRX8H_Spec.pdf,PASS
lenovo-legion-pro,display.displaySizes,16-inch,SERIES,lenovo-legion-pro:display.displaySizes,https://psref.lenovo.com/syspool/Sys/PDF/Legion/Legion_Pro_7_16IRX8H/Legion_Pro_7_16IRX8H_Spec.pdf,PASS
lenovo-legion-pro,batteryCapacity,80Wh (Pro 5 16IRX10 / Pro 7 option) / 99.9Wh (Pro 7 16IRX8H option),SERIES,lenovo-legion-pro:batteryCapacity,https://psref.lenovo.com/syspool/Sys/PDF/Legion/Legion_Pro_7_16IRX8H/Legion_Pro_7_16IRX8H_Spec.pdf,PASS
lenovo-legion-pro,chargerWattageOptions,245W (Pro 5 16IRX10) · 330W (Pro 7 16IRX8H),SERIES,lenovo-legion-pro:chargerWattageOptions,https://psref.lenovo.com/syspool/Sys/PDF/Legion/Legion_Pro_7_16IRX8H/Legion_Pro_7_16IRX8H_Spec.pdf,PASS
