URL,Type,HTTP,Marker,Result
/รับซื้อโน๊ตบุ๊ค/macbook-air-13/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/macbook-air-15/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/macbook-air-m4/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/macbook-air-m5/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/macbook-pro-14/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/macbook-pro-16/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/msi-katana-15/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/msi-cyborg-15/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/msi-stealth-14/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/msi-stealth-16/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/msi-raider-18/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/msi-vector-16-hx/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/lenovo-legion-pro-7/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/samsung-galaxy-book/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/asus-zephyrus-g14/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/asus-zephyrus-g16/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/alienware-m16/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/hp-omen-16/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/dell-xps-13-15/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/acer-aspire-5/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/surface-laptop-go/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/macbook-air-m3/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/hp-victus-17/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/dell-inspiron-15/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/acer-nitro-17/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/hp-spectre-x360/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/asus-rog-flow/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/alienware-m18/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/acer-predator-helios/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/dell-g15-g16/,Model,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/asus-zephyrus/,Series,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/honor-magicbook/,Series,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/lg-gram/,Series,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/razer-blade/,Series,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/surface-book/,Series,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/acer-swift/,Series,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/dell-latitude/,Series,200,yes,PASS
/รับซื้อโน๊ตบุ๊ค/hp-elitebook/,Series,200,yes,PASS
