URL,Brand,Series,Model,Page type,Dataset source,Verified fields count,Content score,Word count,Inbound links,Related pages,Unique data available,Enrichment priority,Evidence quality
/รับซื้อโน๊ตบุ๊ค/acer-aspire-5/,acer,,acer-aspire-5,Model,src/content/brands/acer-aspire-5.md,9,87,411,TBD,/รับซื้อโน๊ตบุ๊ค/acer/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/acer-nitro-16/,acer,,acer-nitro-16,Model,src/content/brands/acer-nitro-16.md,8,91,496,TBD,/รับซื้อโน๊ตบุ๊ค/acer/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/acer-nitro-17/,acer,,acer-nitro-17,Model,src/content/brands/acer-nitro-17.md,9,87,398,TBD,/รับซื้อโน๊ตบุ๊ค/acer/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/acer-nitro-v/,acer,,acer-nitro-v,Model,src/content/brands/acer-nitro-v.md,8,91,504,TBD,/รับซื้อโน๊ตบุ๊ค/acer/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/acer-predator-helios/,acer,,acer-predator-helios,Model,src/content/brands/acer-predator-helios.md,9,87,392,TBD,/รับซื้อโน๊ตบุ๊ค/acer/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/acer-predator-neo/,acer,,acer-predator-neo,Model,src/content/brands/acer-predator-neo.md,8,91,489,TBD,/รับซื้อโน๊ตบุ๊ค/acer/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/acer-predator-triton/,acer,,acer-predator-triton,Model,src/content/brands/acer-predator-triton.md,9,89,396,TBD,/รับซื้อโน๊ตบุ๊ค/acer/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/acer-swift/,acer,acer-swift,,Series,src/content/brands/acer-swift.md,9,91,686,TBD,/รับซื้อโน๊ตบุ๊ค/acer/ | /รับซื้อโน๊ตบุ๊ค/acer-swift/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/acer-travelmate/,acer,acer-travelmate,,Series,src/content/brands/acer-travelmate.md,9,91,680,TBD,/รับซื้อโน๊ตบุ๊ค/acer/ | /รับซื้อโน๊ตบุ๊ค/acer-travelmate/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/alienware-m15-r7-r8/,dell,,alienware-m15-r7-r8,Model,src/content/brands/alienware-m15-r7-r8.md,9,89,411,TBD,/รับซื้อโน๊ตบุ๊ค/dell/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/alienware-m16/,dell,,alienware-m16,Model,src/content/brands/alienware-m16.md,9,87,401,TBD,/รับซื้อโน๊ตบุ๊ค/dell/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/alienware-m18/,dell,,alienware-m18,Model,src/content/brands/alienware-m18.md,9,87,399,TBD,/รับซื้อโน๊ตบุ๊ค/dell/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/alienware-x16/,dell,alienware-x16,,Series,src/content/brands/alienware-x16.md,9,87,416,TBD,/รับซื้อโน๊ตบุ๊ค/dell/ | /รับซื้อโน๊ตบุ๊ค/alienware-x16/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/asus-expertbook/,asus,asus-expertbook,,Series,src/content/brands/asus-expertbook.md,9,91,675,TBD,/รับซื้อโน๊ตบุ๊ค/asus/ | /รับซื้อโน๊ตบุ๊ค/asus-expertbook/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/asus-rog-ally-x/,asus,,asus-rog-ally-x,Model,src/content/brands/asus-rog-ally-x.md,8,87,409,TBD,/รับซื้อโน๊ตบุ๊ค/asus/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/asus-rog-flow/,asus,,asus-rog-flow,Model,src/content/brands/asus-rog-flow.md,7,87,414,TBD,/รับซื้อโน๊ตบุ๊ค/asus/,popularModels|faqs|body_depth,B,medium
/รับซื้อโน๊ตบุ๊ค/asus-rog-strix/,asus,,asus-rog-strix,Model,src/content/brands/asus-rog-strix.md,9,91,548,TBD,/รับซื้อโน๊ตบุ๊ค/asus/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/asus-tuf-a15-f15/,asus,,asus-tuf-a15-f15,Model,src/content/brands/asus-tuf-a15-f15.md,8,91,531,TBD,/รับซื้อโน๊ตบุ๊ค/asus/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/asus-vivobook/,asus,asus-vivobook,,Series,src/content/brands/asus-vivobook.md,9,91,668,TBD,/รับซื้อโน๊ตบุ๊ค/asus/ | /รับซื้อโน๊ตบุ๊ค/asus-vivobook/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/asus-zenbook/,asus,asus-zenbook,,Series,src/content/brands/asus-zenbook.md,9,91,672,TBD,/รับซื้อโน๊ตบุ๊ค/asus/ | /รับซื้อโน๊ตบุ๊ค/asus-zenbook/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/asus-zephyrus-g14/,asus,asus-zephyrus,asus-zephyrus-g14,Model,src/content/brands/asus-zephyrus-g14.md,9,87,406,TBD,/รับซื้อโน๊ตบุ๊ค/asus/ | /รับซื้อโน๊ตบุ๊ค/asus-zephyrus/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/asus-zephyrus-g16/,asus,asus-zephyrus,asus-zephyrus-g16,Model,src/content/brands/asus-zephyrus-g16.md,9,87,403,TBD,/รับซื้อโน๊ตบุ๊ค/asus/ | /รับซื้อโน๊ตบุ๊ค/asus-zephyrus/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/asus-zephyrus/,asus,asus-zephyrus,,Series,src/content/brands/asus-zephyrus.md,9,94,703,TBD,/รับซื้อโน๊ตบุ๊ค/asus/ | /รับซื้อโน๊ตบุ๊ค/asus-zephyrus/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/dell-g15-g16/,dell,,dell-g15-g16,Model,src/content/brands/dell-g15-g16.md,9,87,418,TBD,/รับซื้อโน๊ตบุ๊ค/dell/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/dell-inspiron-15/,dell,,dell-inspiron-15,Model,src/content/brands/dell-inspiron-15.md,7,87,398,TBD,/รับซื้อโน๊ตบุ๊ค/dell/,popularModels|faqs|body_depth,B,medium
/รับซื้อโน๊ตบุ๊ค/dell-latitude/,dell,dell-latitude,,Series,src/content/brands/dell-latitude.md,9,94,701,TBD,/รับซื้อโน๊ตบุ๊ค/dell/ | /รับซื้อโน๊ตบุ๊ค/dell-latitude/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/dell-vostro/,dell,dell-vostro,,Series,src/content/brands/dell-vostro.md,9,91,667,TBD,/รับซื้อโน๊ตบุ๊ค/dell/ | /รับซื้อโน๊ตบุ๊ค/dell-vostro/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/dell-xps-13-15/,dell,,dell-xps-13-15,Model,src/content/brands/dell-xps-13-15.md,7,87,401,TBD,/รับซื้อโน๊ตบุ๊ค/dell/,popularModels|faqs|body_depth,B,medium
/รับซื้อโน๊ตบุ๊ค/gigabyte-aorus/,gigabyte,gigabyte-aorus,,Series,src/content/brands/gigabyte-aorus.md,7,87,437,TBD,/รับซื้อโน๊ตบุ๊ค/gigabyte/ | /รับซื้อโน๊ตบุ๊ค/gigabyte-aorus/,popularModels|faqs|prose_hardware_mentions|body_depth,B,medium
/รับซื้อโน๊ตบุ๊ค/honor-magicbook/,honor,honor-magicbook,,Series,src/content/brands/honor-magicbook.md,7,87,397,TBD,/รับซื้อโน๊ตบุ๊ค/honor/ | /รับซื้อโน๊ตบุ๊ค/honor-magicbook/,popularModels|faqs|body_depth,B,medium
/รับซื้อโน๊ตบุ๊ค/hp-elitebook/,hp,hp-elitebook,,Series,src/content/brands/hp-elitebook.md,9,91,677,TBD,/รับซื้อโน๊ตบุ๊ค/hp/ | /รับซื้อโน๊ตบุ๊ค/hp-elitebook/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/hp-envy-x360/,hp,,hp-envy-x360,Model,src/content/brands/hp-envy-x360.md,9,87,391,TBD,/รับซื้อโน๊ตบุ๊ค/hp/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/hp-omen-16/,hp,,hp-omen-16,Model,src/content/brands/hp-omen-16.md,9,87,380,TBD,/รับซื้อโน๊ตบุ๊ค/hp/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/hp-omen-17/,hp,,hp-omen-17,Model,src/content/brands/hp-omen-17.md,9,87,393,TBD,/รับซื้อโน๊ตบุ๊ค/hp/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/hp-omen-transcend/,hp,,hp-omen-transcend,Model,src/content/brands/hp-omen-transcend.md,9,87,414,TBD,/รับซื้อโน๊ตบุ๊ค/hp/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/hp-pavilion/,hp,hp-pavilion,,Series,src/content/brands/hp-pavilion.md,9,91,653,TBD,/รับซื้อโน๊ตบุ๊ค/hp/ | /รับซื้อโน๊ตบุ๊ค/hp-pavilion/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/hp-probook/,hp,hp-probook,,Series,src/content/brands/hp-probook.md,9,91,677,TBD,/รับซื้อโน๊ตบุ๊ค/hp/ | /รับซื้อโน๊ตบุ๊ค/hp-probook/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/hp-spectre-x360/,hp,,hp-spectre-x360,Model,src/content/brands/hp-spectre-x360.md,9,87,412,TBD,/รับซื้อโน๊ตบุ๊ค/hp/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/hp-victus-15/,hp,,hp-victus-15,Model,src/content/brands/hp-victus-15.md,8,91,485,TBD,/รับซื้อโน๊ตบุ๊ค/hp/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/hp-victus-16/,hp,,hp-victus-16,Model,src/content/brands/hp-victus-16.md,8,91,492,TBD,/รับซื้อโน๊ตบุ๊ค/hp/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/hp-victus-17/,hp,,hp-victus-17,Model,src/content/brands/hp-victus-17.md,9,87,416,TBD,/รับซื้อโน๊ตบุ๊ค/hp/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/huawei-matebook/,huawei,huawei-matebook,,Series,src/content/brands/huawei-matebook.md,7,87,410,TBD,/รับซื้อโน๊ตบุ๊ค/huawei/ | /รับซื้อโน๊ตบุ๊ค/huawei-matebook/,popularModels|faqs|body_depth,B,medium
/รับซื้อโน๊ตบุ๊ค/lenovo-ideapad-3-5/,lenovo,,lenovo-ideapad-3-5,Model,src/content/brands/lenovo-ideapad-3-5.md,7,92,413,TBD,/รับซื้อโน๊ตบุ๊ค/lenovo/,popularModels|faqs|body_depth,B,medium
/รับซื้อโน๊ตบุ๊ค/lenovo-legion-5/,lenovo,,lenovo-legion-5,Model,src/content/brands/lenovo-legion-5.md,7,88,483,TBD,/รับซื้อโน๊ตบุ๊ค/lenovo/,popularModels|prose_hardware_mentions|body_depth,B,medium
/รับซื้อโน๊ตบุ๊ค/lenovo-legion-pro-7/,lenovo,,lenovo-legion-pro-7,Model,src/content/brands/lenovo-legion-pro-7.md,9,93,490,TBD,/รับซื้อโน๊ตบุ๊ค/lenovo/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/lenovo-legion-pro/,lenovo,,lenovo-legion-pro,Model,src/content/brands/lenovo-legion-pro.md,8,91,588,TBD,/รับซื้อโน๊ตบุ๊ค/lenovo/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/lenovo-legion-slim/,lenovo,,lenovo-legion-slim,Model,src/content/brands/lenovo-legion-slim.md,8,91,590,TBD,/รับซื้อโน๊ตบุ๊ค/lenovo/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
/รับซื้อโน๊ตบุ๊ค/lenovo-loq-15-16/,lenovo,,lenovo-loq-15-16,Model,src/content/brands/lenovo-loq-15-16.md,9,91,540,TBD,/รับซื้อโน๊ตบุ๊ค/lenovo/,popularModels|faqs|prose_hardware_mentions|body_depth,A,high
