page_a,page_b,jaccard,level
macbook-air-m1,macbook-air-m2,0.278,LOW
macbook-air-m1,macbook-pro-m1,0.258,LOW
macbook-air-m1,macbook-pro-m2,0.211,LOW
macbook-air-m1,acer-nitro-17,0.058,LOW
macbook-air-m1,acer-nitro-v,0.059,LOW
macbook-air-m1,asus-zephyrus-g16,0.058,LOW
macbook-air-m1,hp-victus-16,0.067,LOW
macbook-air-m2,macbook-pro-m1,0.291,LOW
macbook-air-m2,macbook-pro-m2,0.279,LOW
macbook-air-m2,acer-nitro-17,0.054,LOW
macbook-air-m2,acer-nitro-v,0.070,LOW
macbook-air-m2,asus-zephyrus-g16,0.068,LOW
macbook-air-m2,hp-victus-16,0.068,LOW
macbook-pro-m1,macbook-pro-m2,0.355,LOW
macbook-pro-m1,acer-nitro-17,0.087,LOW
macbook-pro-m1,acer-nitro-v,0.101,LOW
macbook-pro-m1,asus-zephyrus-g16,0.095,LOW
macbook-pro-m1,hp-victus-16,0.100,LOW
macbook-pro-m2,acer-nitro-17,0.077,LOW
macbook-pro-m2,acer-nitro-v,0.077,LOW
macbook-pro-m2,asus-zephyrus-g16,0.075,LOW
macbook-pro-m2,hp-victus-16,0.081,LOW
acer-nitro-17,acer-nitro-v,0.302,LOW
acer-nitro-17,asus-zephyrus-g16,0.185,LOW
acer-nitro-17,hp-victus-16,0.273,LOW
acer-nitro-v,asus-zephyrus-g16,0.184,LOW
acer-nitro-v,hp-victus-16,0.253,LOW
asus-zephyrus-g16,hp-victus-16,0.222,LOW
