source_url,viewport,http_status,horizontal_overflow,h1_count,h1_correct,breadcrumb,visible_internal_links,cta_count,cta_clutter,obvious_layout_shift,broken_images,abnormal_duplicate_text,false_branch_claim,result
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/dell-inspiron-15/,mobile 390x844,200,false,1,true,visible_and_structured,62,11,false,false,0,false,false,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/dell-inspiron-15/,desktop 1440x900,200,false,1,true,visible_and_structured,62,11,false,false,0,false,false,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/honor/,mobile 390x844,200,false,1,true,visible_and_structured,63,10,false,false,0,false,false,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/honor/,desktop 1440x900,200,false,1,true,visible_and_structured,63,10,false,false,0,false,false,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/huawei-matebook/,mobile 390x844,200,false,1,true,visible_and_structured,62,10,false,false,0,false,false,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/huawei-matebook/,desktop 1440x900,200,false,1,true,visible_and_structured,62,10,false,false,0,false,false,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/huawei/,mobile 390x844,200,false,1,true,visible_and_structured,65,10,false,false,0,existing H1 wording repetition noted; no layout regression,false,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/huawei/,desktop 1440x900,200,false,1,true,visible_and_structured,65,10,false,false,0,existing H1 wording repetition noted; no layout regression,false,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/macbook-mdm/,mobile 390x844,200,false,1,true,visible_and_structured,62,10,false,false,0,false,false,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/macbook-mdm/,desktop 1440x900,200,false,1,true,visible_and_structured,62,10,false,false,0,false,false,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/macbook-no-box-no-receipt/,mobile 390x844,200,false,1,true,visible_and_structured,62,10,false,false,0,false,false,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/macbook-no-box-no-receipt/,desktop 1440x900,200,false,1,true,visible_and_structured,62,10,false,false,0,false,false,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/macbook-pro-m5/,mobile 390x844,200,false,1,true,visible_and_structured,67,11,false,false,0,false,false,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/macbook-pro-m5/,desktop 1440x900,200,false,1,true,visible_and_structured,67,11,false,false,0,false,false,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/surface-book/,mobile 390x844,200,false,1,true,visible_and_structured,62,11,false,false,0,false,false,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/surface-book/,desktop 1440x900,200,false,1,true,visible_and_structured,62,11,false,false,0,false,false,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/เช็คราคาโน๊ตบุ๊คมือสอง/,mobile 390x844,200,false,1,true,structured_data_only,78,9,false,false,0,false,false,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/เช็คราคาโน๊ตบุ๊คมือสอง/,desktop 1440x900,200,false,1,true,structured_data_only,78,9,false,false,0,false,false,PASS
